road_id,full_road_name,road_name_label,Road Name,Corridor ID,Land Use,Traffic Volume,Street Category,Collective Risk Band,Personal Risk Band,Posted Speed Limit,Free Flow Speed,IRR Band,Safe and Appropriate Speed,Difference between posted speed limit and SaAS,Difference between operating and SaAS,Proposed Permanent Speed Limit,Proposed Variable Speed Limit,Start GPS Co-ordinates,End GPS Co-ordinates
1793323,Birdwood Street,Birdwood St,BIRDWOOD ST,BIRDWOOD_14868,,254,Activity Streets,Low,Low,50,34,Medium High,30,20,4,50,30.0,"[-41.1164264,175.328573]","[-41.114302,175.3307172]"
1793323,Birdwood Street,Birdwood St,BIRDWOOD ST,BIRDWOOD_14975,Urban Residential,871,Activity Streets,Low,Low,50,12,Medium,30,20,-18,50,30.0,"[-41.11761095572406, 175.3273526761907]","[-41.1173907,175.3275435]"
1793478,Jellicoe Street,Jellicoe St,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,,497,Activity Streets,Low,Low,50,53,Medium,30,20,23,40,,"[-41.2194048,175.4581735]","[-41.2236043,175.450942]"
1793478,Jellicoe Street,Jellicoe St,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,,264,Activity Streets,Low,Low,70,59,Medium,30,40,29,50,,"[-41.2236043,175.450942]","[-41.22425724815949, 175.4498439213005]"
1793478,Jellicoe Street,Jellicoe St,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,,264,Urban Connectors,Low,Low,70,69,Medium,40,30,29,60,,"[-41.22425724815949, 175.4498439213005]","[-41.2267649,175.4453782]"
1793478,Jellicoe Street,Jellicoe St,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,,264,Rural Connectors,Medium,Medium,100,71,Medium,80,20,-9,60,,"[-41.2267649,175.4453782]","[-41.2285420354037, 175.44214061706535]"
1793478,Jellicoe Street,Jellicoe St,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,,1103,Activity Streets,Low,Low,50,37,High,30,20,7,30,,"[-41.2189342,175.459028]","[-41.2194048,175.4581735]"
1801445,Oxford Street,Oxford St,OXFORD ST,OXFORD_90865,,847,Activity Streets,Low,Low,50,33,Medium,30,20,3,30,,"[-41.218885,175.45987]","[-41.219688,175.4606225]"
1795475,Bell Street,Bell St,BELL ST,BELL_14975,,499,Local Streets,Low,Low,50,30,Low Medium,30,20,0,50,30.0,"[-41.114461156249334, 175.32711357212318]"," [-41.11628028786305, 175.33018206543437]"
1793950,Lyon Street,Lyon St,LYON ST,LYON_14971,,619,Local Streets,Low,Low,50,30,Low Medium,30,20,0,40,,"[-41.1177391,175.3272425]","[-41.1195516,175.325396]"
