road_id,full_road_name,Road Name,Corridor ID,Processed_Full_Road_Name,lat_lon
1795560,Ben Avon Grove,BEN AVON GROVE,BEN_32663,ben,FALSE
1795565,Hemi Street,HEMI ST,HEMI_29175,hemi,FALSE
1841604,Te Whaiti Lane,TE MIHA CRES,MIHA_36185,te,FALSE
3060031,Te Maire Road,TE MIHA CRES,MIHA_36185,te,FALSE
3002124,Te Awaiti Road,TE MIHA CRES,MIHA_36185,te,FALSE
3021763,Te Kouka Lane,TE MIHA CRES,MIHA_36185,te,FALSE
1795542,Te Hopai Road,TE MIHA CRES,MIHA_36185,te,FALSE
1795546,Te Rata Road,TE MIHA CRES,MIHA_36185,te,FALSE
1795543,Te Miha Crescent,TE MIHA CRES,MIHA_36185,te,FALSE
3022761,Te Muna Road,TE MIHA CRES,MIHA_36185,te,FALSE
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14868,birdwood,TRUE
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_002695,birdwood,TRUE
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_052626,birdwood,TRUE
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14975,birdwood,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe,TRUE
