road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795632,Addressing Road,Unknown,Road,Beach Road,Beach Rd,,Beach,Road,,,,,,Beach Road,Beach Rd,Beach
1840000,Addressing Road,Unknown,Road,Vintners Lane,Vintners Lane,,Vintners,Lane,,,,,,Vintners Lane,Vintners Lane,Vintners
1795623,Addressing Road,Unknown,Road,Tora Farm Settlement Road,Tora Farm Settlement Rd,,Tora Farm Settlement,Road,,,,,,Tora Farm Settlement Road,Tora Farm Settlement Rd,Tora Farm Settlement
1792097,Addressing Road,Unknown,Road,Bethune Street,Bethune St,,Bethune,Street,,,,,,Bethune Street,Bethune St,Bethune
1795560,Addressing Road,Unknown,Road,Ben Avon Grove,Ben Avon Grv,,Ben Avon,Grove,,,,,,Ben Avon Grove,Ben Avon Grv,Ben Avon
1795565,Addressing Road,Unknown,Road,Hemi Street,Hemi St,,Hemi,Street,,,,,,Hemi Street,Hemi St,Hemi
1841604,Addressing Road,Unknown,Road,Te Whaiti Lane,Te Whaiti Lane,,Te Whaiti,Lane,,,,,,Te Whaiti Lane,Te Whaiti Lane,Te Whaiti
3013127,Addressing Road,Unknown,Road,White Rock Road,White Rock Rd,,White Rock,Road,,,,,,White Rock Road,White Rock Rd,White Rock
1795504,Addressing Road,Unknown,Road,Wards Line,Wards Line,,Wards,Line,,,,,,Wards Line,Wards Line,Wards
1795498,Addressing Road,Unknown,Road,Weld Street,Weld St,,Weld,Street,,,,,,Weld Street,Weld St,Weld
3054528,Addressing Road,Unknown,Road,Kitchener Street,Kitchener St,,Kitchener,Street,,,,,,Kitchener Street,Kitchener St,Kitchener
1793323,Addressing Road,Unknown,Road,Birdwood Street,Birdwood St,,Birdwood,Street,,,,,,Birdwood Street,Birdwood St,Birdwood
1840617,Addressing Road,Unknown,Road,Orchard Road,Orchard Rd,,Orchard,Road,,,,,,Orchard Road,Orchard Rd,Orchard
1793428,Addressing Road,Unknown,Road,Harrison Street West,Harrison St W,,Harrison,Street,West,,,,,Harrison Street West,Harrison St W,Harrison
1793478,Addressing Road,Unknown,Road,Jellicoe Street,Jellicoe St,,Jellicoe,Street,,,,,,Jellicoe Street,Jellicoe St,Jellicoe
1801445,Addressing Road,Unknown,Road,Oxford Street,Oxford St,,Oxford,Street,,,,,,Oxford Street,Oxford St,Oxford
1795503,Addressing Road,Unknown,Road,Wallace Street,Wallace St,,Wallace,Street,,,,,,Wallace Street,Wallace St,Wallace
1795564,Addressing Road,Unknown,Road,Hill Street,Hill St,,Hill,Street,,,,,,Hill Street,Hill St,Hill
1795629,Addressing Road,Unknown,Road,Mein Street,Mein St,,Mein,Street,,,,,,Mein Street,Mein St,Mein
1795618,Addressing Road,Unknown,Road,Claude Street,Claude St,,Claude,Street,,,,,,Claude Street,Claude St,Claude
1844135,Addressing Road,Unknown,Road,Tuscan Lane,Tuscan Lane,,Tuscan,Lane,,,,,,Tuscan Lane,Tuscan Lane,Tuscan
1795588,Addressing Road,Unknown,Road,Pharazyns Road,Pharazyns Rd,,Pharazyns,Road,,,,,,Pharazyns Road,Pharazyns Rd,Pharazyns
1795483,Addressing Road,Unknown,Road,Waite Street,Waite St,,Waite,Street,,,,,,Waite Street,Waite St,Waite
3073674,Addressing Road,Unknown,Road Designation,State Highway 53,SH 53,,,,,State Highway,53,,,State Highway 53,SH 53,
1795462,Addressing Road,Unknown,Road,Hart Street,Hart St,,Hart,Street,,,,,,Hart Street,Hart St,Hart
1795481,Addressing Road,Unknown,Road,Skipage Grove,Skipage Grv,,Skipage,Grove,,,,,,Skipage Grove,Skipage Grv,Skipage
1795678,Addressing Road,Unknown,Road,Suez Street,Suez St,,Suez,Street,,,,,,Suez Street,Suez St,Suez
1840944,Addressing Road,Unknown,Road,Sam Meads Way,Sam Meads Way,,Sam Meads,Way,,,,,,Sam Meads Way,Sam Meads Way,Sam Meads
3004074,Addressing Road,Unknown,Road,Camp Road,Camp Rd,,Camp,Road,,,,,,Camp Road,Camp Rd,Camp
3038733,Addressing Road,Unknown,Road,Viles Road,Viles Rd,,Viles,Road,,,,,,Viles Road,Viles Rd,Viles
1839984,Addressing Road,Unknown,Road,North Soldiers Settlement Road,North Soldiers Settlement Rd,,North Soldiers Settlement,Road,,,,,,North Soldiers Settlement Road,North Soldiers Settlement Rd,North Soldiers Settlement
1859667,Addressing Road,Unknown,Road,Prendiville Lane,Prendiville Lane,,Prendiville,Lane,,,,,,Prendiville Lane,Prendiville Lane,Prendiville
3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds
3026746,Addressing Road,Unknown,Road,Pigeon Bush Road,Pigeon Bush Rd,,Pigeon Bush,Road,,,,,,Pigeon Bush Road,Pigeon Bush Rd,Pigeon Bush
3020227,Addressing Road,Unknown,Road,Bucks Road,Bucks Rd,,Bucks,Road,,,,,,Bucks Road,Bucks Rd,Bucks
3030908,Addressing Road,Unknown,Road,Rotomanu Rise,Rotomanu Rise,,Rotomanu,Rise,,,,,,Rotomanu Rise,Rotomanu Rise,Rotomanu
3050354,Addressing Road,Unknown,Road,Longwood East Road,Longwood East Rd,,Longwood East,Road,,,,,,Longwood East Road,Longwood East Rd,Longwood East
1800320,Addressing Road,Unknown,Road,Huangarua Road,Huangarua Rd,,Huangarua,Road,,,,,,Huangarua Road,Huangarua Rd,Huangarua
1800676,Addressing Road,Unknown,Road,Hikunui Road,Hikunui Rd,,Hikunui,Road,,,,,,Hikunui Road,Hikunui Rd,Hikunui
1801416,Addressing Road,Unknown,Road,Hodders Road,Hodders Rd,,Hodders,Road,,,,,,Hodders Road,Hodders Rd,Hodders
3050205,Addressing Road,Unknown,Road,Tauherenikau Road,Tauherenikau Rd,,Tauherenikau,Road,,,,,,Tauherenikau Road,Tauherenikau Rd,Tauherenikau
1791839,Addressing Road,Unknown,Road,Oak View Place,Oak View Pl,,Oak View,Place,,,,,,Oak View Place,Oak View Pl,Oak View
1793346,Addressing Road,Unknown,Road,Brown Street,Brown St,,Brown,Street,,,,,,Brown Street,Brown St,Brown
1795591,Addressing Road,Unknown,Road,Greens Road,Greens Rd,,Greens,Road,,,,,,Greens Road,Greens Rd,Greens
1795486,Addressing Road,Unknown,Road,Kereru Grove,Kereru Grv,,Kereru,Grove,,,,,,Kereru Grove,Kereru Grv,Kereru
3049722,Addressing Road,Unknown,Road,Cross Line,Cross Line,,Cross,Line,,,,,,Cross Line,Cross Line,Cross
3063900,Addressing Road,Unknown,Road,Governors Green Drive,Governors Green Dr,,Governors Green,Drive,,,,,,Governors Green Drive,Governors Green Dr,Governors Green
3074713,Addressing Road,Accessway,,,,,,,,,,,,,,
1795466,Addressing Road,Unknown,Road,Tait Crescent,Tait Cres,,Tait,Crescent,,,,,,Tait Crescent,Tait Cres,Tait
1795475,Addressing Road,Unknown,Road,Bell Street,Bell St,,Bell,Street,,,,,,Bell Street,Bell St,Bell
1795477,Addressing Road,Unknown,Road,Kowhai Grove,Kowhai Grv,,Kowhai,Grove,,,,,,Kowhai Grove,Kowhai Grv,Kowhai
1795664,Addressing Road,Unknown,Road,Sackville Street,Sackville St,,Sackville,Street,,,,,,Sackville Street,Sackville St,Sackville
1800668,Addressing Road,Unknown,Road,Longwood West Road,Longwood West Rd,,Longwood West,Road,,,,,,Longwood West Road,Longwood West Rd,Longwood West
1800673,Addressing Road,Unknown,Road,Oystershell Road,Oystershell Rd,,Oystershell,Road,,,,,,Oystershell Road,Oystershell Rd,Oystershell
1800677,Addressing Road,Unknown,Road,Tauherenikau Valley Road,Tauherenikau Valley Rd,,Tauherenikau Valley,Road,,,,,,Tauherenikau Valley Road,Tauherenikau Valley Rd,Tauherenikau Valley
1795497,Addressing Road,Unknown,Road,Wakefield Street,Wakefield St,,Wakefield,Street,,,,,,Wakefield Street,Wakefield St,Wakefield
1795579,Addressing Road,Unknown,Road,Tauherenikau Racecourse Road,Tauherenikau Racecourse Rd,,Tauherenikau Racecourse,Road,,,,,,Tauherenikau Racecourse Road,Tauherenikau Racecourse Rd,Tauherenikau Racecourse
1795590,Addressing Road,Unknown,Road,McIvors Road,McIvors Rd,,McIvors,Road,,,,,,McIvors Road,McIvors Rd,McIvors
1795593,Addressing Road,Unknown,Road,Smith Street,Smith St,,Smith,Street,,,,,,Smith Street,Smith St,Smith
1795594,Addressing Road,Unknown,Road,South Soldiers Settlement Road,South Soldiers Settlement Rd,,South Soldiers Settlement,Road,,,,,,South Soldiers Settlement Road,South Soldiers Settlement Rd,South Soldiers Settlement
3077558,Addressing Road,Unknown,Road,Hewson Lane,Hewson Lane,,Hewson,Lane,,,,,,Hewson Lane,Hewson Lane,Hewson
1785469,Addressing Road,Unknown,Road,Southdown Drive,Southdown Dr,,Southdown,Drive,,,,,,Southdown Drive,Southdown Dr,Southdown
1795484,Addressing Road,Unknown,Road,William Benton Street,William Benton St,,William Benton,Street,,,,,,William Benton Street,William Benton St,William Benton
1839461,Addressing Road,Unknown,Road,Monty's Lane,Monty's Lane,,Monty's,Lane,,,,,,Monty's Lane,Monty's Lane,Monty's
1841023,Addressing Road,Unknown,Road,Market Road,Market Rd,,Market,Road,,,,,,Market Road,Market Rd,Market
1837748,Addressing Road,Unknown,Road,Omarere Road,Omarere Rd,,Omarere,Road,,,,,,Omarere Road,Omarere Rd,Omarere
