road_id,full_road_name,Road Name,Corridor ID,Processed_Full_Road_Name
1795560,Ben Avon Grove,BEN AVON GROVE,BEN_32663,ben
1795565,Hemi Street,HEMI ST,HEMI_29175,hemi
1841604,Te Whaiti Lane,TE MIHA CRES,MIHA_36185,te
3060031,Te Maire Road,TE MIHA CRES,MIHA_36185,te
3002124,Te Awaiti Road,TE MIHA CRES,MIHA_36185,te
3021763,Te Kouka Lane,TE MIHA CRES,MIHA_36185,te
1795542,Te Hopai Road,TE MIHA CRES,MIHA_36185,te
1795546,Te Rata Road,TE MIHA CRES,MIHA_36185,te
1795543,Te Miha Crescent,TE MIHA CRES,MIHA_36185,te
3022761,Te Muna Road,TE MIHA CRES,MIHA_36185,te
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14868,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_002695,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_052626,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14975,birdwood
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1801445,Oxford Street,OXFORD ST,OXFORD_90865,oxford
3000452,Donalds Road,DONALD ST,DONALD_41617,donalds
3000452,Donalds Road,DONALD ST,DONALD_14969,donalds
3000452,Donalds Road,DONALD ST,DONALD_14970,donalds
1793350,Donald Street,DONALD ST,DONALD_41617,donald
1793350,Donald Street,DONALD ST,DONALD_14969,donald
1793350,Donald Street,DONALD ST,DONALD_14970,donald
1800320,Huangarua Road,HUANGARUA RD,HUANGARUA_91206,huangarua
1795475,Bell Street,BELL ST,BELL_14975,bell
3037164,Moroa Road,MOROA ROAD,MOROA_88557,moroa
1793950,Lyon Street,LYON ST,LYON_14971,lyon
1795513,Wilkie Street,WILKIE STREET,WILKIE_36677,wilkie
1795659,Loasby Place,LOASBY PLACE,LOASBY_14982,loasby
1795605,Pukio West Road,PUKIO WEST RD,PUKIO_45947,pukio
1795604,Pukio East Road,PUKIO WEST RD,PUKIO_45947,pukio
1795667,Ohio Street,OHIO ST,OHIO_14866,ohio
1795523,Seaview Avenue,SEAVIEW AVE,SEAVIEW_29917,seaview
1795625,Tilson Avenue,TILSON AVE,TILSON_29942,tilson
1795624,Tilsons Road,TILSON AVE,TILSON_29942,tilsons
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88053,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88345,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_074933,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_078888,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_081004,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_3326,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_087565,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_84621,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_86455,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_85104,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88053,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88345,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_074933,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_078888,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_081004,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_3326,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_087565,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_84621,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_86455,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_85104,cape
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_078159,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_079875,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_84571,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_87268,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_85252,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_068349,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_082272,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_078159,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_079875,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_84571,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_87268,lake
